#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
1,Jahmyr Gibbs,RB,DET,17.4,17.6,16.3,19.8,BYE,12.1,32,20.3,15,12.8,19.3,24.9,10.4,19.3,28.4,25.4,26.3,46,21.3,362.9
2,Saquon Barkley,RB,PHI,33.2,17.6,33.6,13.6,BYE,7.4,27,12.1,33,8.8,33.8,46.2,19.7,14.4,9.4,27,18.9,-,22.2,355.3
3,Bijan Robinson,RB,ATL,16.1,16.2,13.2,11.4,11,25.5,23,23.6,22,29.4,10.3,BYE,25.5,20.1,14.5,24.3,24.8,31.3,20.1,341.7
4,Derrick Henry,RB,BAL,10.6,16.6,30.4,35.9,17,25.2,25,14.7,26,14.1,10.5,14,14.1,BYE,6.7,20.9,24.5,30.1,19.8,336.4
5,De'Von Achane,RB,MIA,23,29.5,8.8,5.9,3,BYE,11,26.7,32,10.2,20.5,20.6,21,18.9,14.6,31,5.8,18.1,17.6,299.9
6,Josh Jacobs,RB,GB,12.4,13.1,5.8,11.8,16,12,20,25.5,13,BYE,23.4,28.6,21.7,24.6,21.6,20.7,10.9,11.6,17.2,293.1
7,Kyren Williams,RB,LAR,14.4,15.2,31.6,20.4,16,BYE,20,22.6,11,11.2,8.6,11.2,18.3,23.7,13.2,19.9,16.2,-,17,272.1
8,James Cook,RB,BUF,13.3,28.5,18.7,5.8,18,-,9,28.3,12,15.5,19.7,BYE,19,4.9,26.3,27.6,11.3,8.8,16.7,266.7
9,Alvin Kamara,RB,NO,22,44,15.7,24.9,12.6,17.4,8,18.2,28,15.9,12.9,BYE,15.9,12.9,17,-,-,-,19,265.3
10,Chase Brown,RB,CIN,5.3,3.1,8.9,23.2,16,14.4,7,11.4,27,22.4,19.3,BYE,19,24.3,26.3,13.9,13.1,-,15.9,255
11,James Conner,RB,ARI,19.3,19.4,3.5,18.3,14,6.6,17,14.9,15,22.3,BYE,9.9,11.1,22.2,30.8,26.6,2.8,-,15.9,253.8
12,Jonathan Taylor,RB,IND,10.8,15.5,26.5,19.8,-,-,-,18.7,9,14.2,7,3.5,17.3,BYE,10.1,39.8,27.6,25,17.5,244.7
13,Bucky Irving,RB,TB,9.6,2.2,11.4,12.5,5.6,18.5,16.7,15.4,6.4,17.7,BYE,27.2,27.5,2.8,13.3,18.2,23,16.4,14.4,244.4
14,Aaron Jones Sr.,RB,MIN,18.9,9.8,25.8,17.9,6.3,BYE,21,11.5,12,12.1,5.3,19.9,9.8,16.4,18.6,12.3,11.7,12.5,14.2,241.6
14,Chuba Hubbard,RB,CAR,1.4,11.6,27.9,22.1,17.5,15.3,11,9.1,21,24.9,BYE,15,2.3,20.7,8.9,32.5,-,-,16.1,241.6
16,Breece Hall,RB,NYJ,18.3,24.4,18.3,3.8,7,21.9,26,9.9,11,12.3,31.1,BYE,6,-,13.1,14,6.3,18.2,15.1,240.9
17,Joe Mixon,RB,HOU,26.8,8,-,-,-,27.2,26,23.4,17,17,35.3,9.5,21.9,BYE,10.6,8.1,5.9,3.8,17.2,240.5
18,David Montgomery,RB,DET,16.3,17,21.2,15,BYE,21,8,14.9,13,12.6,24.5,16.3,15.4,19.4,7.5,-,-,-,15.8,221.7
19,D'Andre Swift,RB,CHI,5,8.2,6.2,29.5,20,21.9,BYE,18.9,14,7.5,16.4,9.5,9.4,5,9.9,8.3,12.1,12.5,12.6,214.5
20,Najee Harris,RB,LAC,8.9,8.4,13.6,10.3,9.7,20.2,16,16.1,-,11.3,13.3,7.4,24.9,11.3,3.1,4.2,10.1,15.6,12,204.6
21,Tony Pollard,RB,TEN,18.4,15.2,5.9,18.8,BYE,17.8,8.5,14.7,18.4,10.3,4.9,21.9,8.8,14.4,8.5,8,-,6.2,12.5,200.7
22,Rachaad White,RB,TB,16.6,3.3,8.5,10.4,9.6,-,29.1,15.7,12.5,19,BYE,11.7,8.8,24.9,14.1,11,4.4,0,12.5,199.6
23,Rico Dowdle,RB,CAR,4.2,9.9,8.6,13.1,19.4,10.5,-,-,21.7,8.6,5.4,10.8,21.3,15.1,14.9,8.1,9.8,16.4,12.4,197.8
24,J.K. Dobbins,RB,DEN,22.9,20.1,8.4,9.2,-,18.2,10,16.8,25,8.5,18.9,8.9,-,BYE,-,-,15.3,10.5,14.8,191.8
25,Zach Charbonnet,RB,SEA,12.1,17.9,25.7,10.4,6,4.5,2,11.4,5,BYE,2.5,2.2,12.1,38.3,13.6,3.3,10.6,9.1,11,186.9
26,Tyrone Tracy Jr.,RB,NYG,1.7,0.2,6,3.1,14,22.7,6.2,23,7.9,15.4,BYE,9,14.5,19.3,4.5,16.9,9.3,8.6,10.7,182.3
27,Kenneth Walker III,RB,SEA,18.9,-,-,33.6,14.6,20.9,23.3,8.5,13.7,BYE,13.9,13.3,6.6,-,-,13.9,-,-,16.5,181.2
28,Rhamondre Stevenson,RB,NE,21.6,17,0.3,8.2,19.2,-,4.5,23.5,22.4,8.7,12.9,3.3,12.4,BYE,9.5,12.3,0.1,-,11.7,175.9
29,Brian Robinson Jr.,RB,SF,17.9,14.6,10.7,20.3,13.8,-,13.1,8.6,BYE,-,14.2,3.4,17.9,-,11.7,2.1,8.9,2.6,11.4,159.8
30,Javonte Williams,RB,DAL,3.3,11.5,6.1,10,16.1,4.6,26.1,9.2,10.4,2.7,18.7,2.4,7.4,-,4.3,12.3,2,10.8,9.3,157.9
31,Kareem Hunt,RB,KC,-,-,-,10.5,18.7,BYE,22.3,13.3,18.7,17,6,11.7,3.5,3.9,5.9,15.9,8,-,12,155.4
32,Alexander Mattison,RB,MIA,16.2,6.1,13.4,6,10.1,17.5,15.3,9.4,3.6,-,9.9,-,-,-,2.4,15.6,4.8,7.1,9.8,137.4
33,Jerome Ford,RB,CLE,18.9,7.4,10,15.5,7.9,1.4,-,-,1.7,BYE,7.9,3.7,7.2,7.7,18.4,24.1,2.2,-,9.6,134
34,Austin Ekeler,RB,WAS,10.2,11.5,13.7,-,11.7,10.8,4,7.8,17.3,18.1,17.6,4.4,-,BYE,-,-,-,5.2,11,132.3
35,Travis Etienne Jr.,RB,JAC,11.9,14.8,12.5,7,12,-0.1,-,-,5,5.3,6.3,BYE,8.8,11,12.5,5.7,8.5,9,8.7,130.2
36,Tank Bigsby,RB,JAC,7.3,0,0.9,9,25.9,2.4,23.8,10.6,2.2,0.4,-,BYE,4.5,13.2,4.2,10.1,3.3,11.2,8.1,129
37,Justice Hill,RB,BAL,11.5,5.2,7.4,21.6,3.5,1.4,13.8,2.9,8.8,1.8,8.1,14.2,6.1,BYE,17.8,3,-,-,8.5,127.1
38,Ameer Abdullah,RB,FA,0,2.2,3.3,0,14.1,4.8,0,2.1,5.6,-,10.7,17.5,7.3,0.8,19.6,19.5,17.7,-,7.8,125.2
39,Jaylen Warren,RB,PIT,4,8.1,1.1,-,-,4.8,7.9,7.9,BYE,9.5,10.8,15.4,10.4,9.2,2.5,14.2,16.2,2.1,8.3,124.1
40,Ray Davis,RB,BUF,3.7,3.8,9.3,1.1,1.4,18.2,11.7,2.9,17,0.6,1.1,BYE,13.7,0,10.9,3.9,2.3,14.5,6.8,116.1
41,Jordan Mason,RB,MIN,22.2,17.4,10.8,24,8.8,9.2,8.9,1.8,-,0.5,1.3,2.3,7.8,-,-,-,-,-,9.6,115
42,Tyjae Spears,RB,TEN,7.2,5.1,10.1,11.9,BYE,2.7,-,-,-,8.1,2.8,-,0.3,3.3,27.2,21.6,13.3,-,9.5,113.6
43,Tyler Allgeier,RB,ATL,2.1,7.5,3.2,10,5.5,19.8,5.5,3.3,7.8,5.9,0.9,BYE,3.2,12.3,4.3,4.1,1.9,8.9,6.2,106.2
44,Antonio Gibson,RB,NE,1.8,11.3,6.7,10.9,6.6,7.3,2.3,0.7,2.1,2.6,3,5.5,12.2,BYE,8.4,5.6,6.3,10.1,6.1,103.4
45,Jaleel McLaughlin,RB,DEN,5.8,0.6,8.4,5.6,11.5,4.5,3.5,12.6,5,1.2,1.9,4.4,9.4,BYE,6.4,-,9.6,6.8,6.1,97.2
46,Devin Singletary,RB,NYG,9.2,14.5,18.8,4.8,-,0,3.1,4.3,3.3,5.5,BYE,9,2.3,0.8,13.1,1.2,4,2.7,6,96.6
47,Emanuel Wilson,RB,GB,6.8,0.9,16.5,2.7,2.5,8.3,1.1,2.3,9.9,BYE,1.7,4.1,2,0.7,0.9,12.6,8.9,14.1,5.6,96
48,Isaac Guerendo,RB,SF,0,0,1.9,-2,2.2,9.9,1.7,19.2,BYE,0,0,0,8.6,26.8,11.5,-,13.9,0.5,5.9,94.2
49,Cam Akers,RB,FA,-,2.5,9.9,5.3,12.7,-0.1,0,-,7.3,5.7,11.6,3.5,2.2,3.7,8.4,0.3,11.3,8.9,5.8,93.2
50,Ty Johnson,RB,BUF,0.7,4.2,13.6,6.3,1.5,3.4,7.4,0,2.3,6.2,1.8,BYE,4.7,13.5,17.3,3,3.5,2.3,5.4,91.7
51,Braelon Allen,RB,NYJ,2.7,19.6,9.8,5.6,3.8,0.8,1.6,9.2,0.9,4.4,0.6,BYE,4.7,12.1,0.5,2,2.6,4.3,5,85.2
52,Zack Moss,RB,FA,14.1,5.7,20.7,17.8,8.2,0.5,7,7.9,-,-,0,-,-,-,-,-,-,-,9.1,81.9
53,Samaje Perine,RB,CIN,2,1.3,7,7.4,3.4,-,3.8,5,13.5,5.7,2.8,4.4,2.5,2.9,4.4,8,4.9,2.4,4.8,81.4
54,Roschon Johnson,RB,CHI,-,-,10.2,8.6,14.5,5.3,BYE,6.6,4.1,1.1,11.1,8.2,0,-,-,0.3,0.5,6.9,6,77.4
55,Miles Sanders,RB,DAL,2.2,5.5,11,7.6,5.3,2.3,3.8,11.5,1,0.5,-,-,-,-,-,-,-,26.6,7,77.3
56,Raheem Mostert,RB,LV,3.9,-,-,-,11.8,-,3,16,8.8,5.4,-0.2,1.2,5.4,-,5.1,6.6,3.9,0,5.5,70.9
57,Sean Tucker,RB,TB,0,0,0.4,2.7,0,34.2,4.8,2.5,2.7,0,BYE,8,0,4.7,1.7,0,5.4,1.6,4,68.7
58,Gus Edwards,RB,FA,3.8,5.9,0.9,1.9,-,-,-,-,-,5.5,2.7,7.1,4.3,9.6,2.3,20.1,-,-,5.8,64.1
59,Jeremy McNichols,RB,WAS,0,0,0.1,20.4,10.4,0.9,4.2,-0.1,2,6.7,1.6,2.2,3.2,BYE,1.4,7.8,3,0,3.8,63.8
60,Nick Chubb,RB,HOU,-,-,-,-,-,-,10.2,5.2,4.5,-,5,19,12.5,4.8,2.1,-,-,-,7.9,63.3
61,Kenneth Gainwell,RB,PIT,2.2,0.6,3.2,0.9,-,2.3,7.7,1.9,2,4.9,5.9,8.2,0,5.3,9,2.3,1.9,4.3,3.7,62.6
62,Kyle Juszczyk,RB,SF,6,4.9,1.6,2.2,0,10.6,1.4,1.7,BYE,0,3.2,2.4,-2.1,1.3,0,3.6,7.9,12.9,3.4,57.6
63,Ezekiel Elliott,RB,FA,12.9,5.2,2.2,3.4,1.7,1.7,-,10.8,-,0.2,5.4,0.6,0.4,1.6,5.1,6.1,0.2,-,3.8,57.5
