#,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
30,DeVonta Smith,WR,PHI,16,4.6,9.3,20,4.9,19.4,8.9,33.3,14.4,BYE,16.9,1.8,14.9,9.8,7.7,7,16.2,4.5,12.1,193.6
33,Jauan Jennings,WR,SF,14,3.6,19.9,-,6.4,-,1.7,7.1,8.5,14.1,17.1,9.4,15.1,13.9,BYE,18.7,18.1,12.2,11.8,165.8
34,Terry McLaurin,WR,WAS,9,4.7,9.8,10.4,-,-,-,-,14.4,-,-,-,BYE,22.6,7.1,15.9,8.3,11.3,11.6,104.5
35,Justin Jefferson,WR,MIN,16,14.8,11.1,12.5,22.6,19.3,BYE,12.9,14.4,16.7,7.7,11.1,8.8,2.4,3.1,4.2,14.5,7,11.4,183.1
36,Ladd McConkey,WR,LAC,16,13.4,9.8,8.1,2.1,14.9,23,15.7,20.8,9.6,20.7,4.3,BYE,13.9,2.2,4,14.3,4.1,11.3,180.9
36,Mike Evans,WR,TB,7,10.1,10.6,13.3,-,-,-,0,-,BYE,-,-,-,-,-,19.2,14.1,12.1,11.3,79.4
38,Troy Franklin,WR,DEN,16,8.4,24,2.8,9.5,8.5,3.1,12.9,26.9,8.3,15,12.4,BYE,4.1,4.1,20.8,10.6,5.7,11.1,177.1
38,Jakobi Meyers,WR,JAC,15,17.7,12.8,9.3,7,7.2,7.9,-,BYE,6.3,7.1,11.4,15,21.3,14.8,12.1,8.6,7.9,11.1,166.4
40,Parker Washington,WR,JAC,15,0,12.6,7.4,5.9,9.6,4.9,10.2,BYE,17,17.9,4,18.1,3.6,-,8.3,26.5,19,11,165
40,Alec Pierce,WR,IND,14,4.6,10.8,10.7,-,-,6.8,14.8,8.9,17.5,18.4,BYE,3.6,17.8,13,2.6,24.6,0,11,154.1
42,Keenan Allen,WR,LAC,16,19.8,17.1,19.5,8.7,10.8,6.7,28.9,8.4,6.1,3.9,9.3,BYE,7,5.2,8.6,9.4,2.7,10.8,172.1
43,Marvin Harrison Jr.,WR,ARI,12,18.1,4.7,7.4,18.6,13.8,5.2,7.8,BYE,22.6,14.3,-,-,12.9,-,-,2.4,0,10.7,127.8
44,DJ Moore,WR,CHI,16,8.6,9.6,12.8,7.8,BYE,8.2,8.2,11.6,23,0,3.1,23.4,4.7,0.6,22.9,21.9,1.7,10.5,168.1
45,Khalil Shakir,WR,BUF,16,12.4,2.2,14.5,17.9,11,6.3,BYE,20.8,11.3,12.8,0.7,17,1.5,9.6,11.5,7.4,9.5,10.4,166.4
46,Romeo Doubs,WR,GB,16,8.8,11.8,4.5,29.8,BYE,10.5,13.2,9.4,16.1,1.5,9.3,4.3,12,0,5.6,19.4,9.2,10.3,165.4
46,Jordan Addison,WR,MIN,13,-,-,-,15.4,15.1,BYE,21.8,11.6,8.4,6.5,10,0,8.6,10.2,8.6,4.6,12.5,10.3,133.3
48,Chris Godwin Jr.,WR,TB,8,-,-,-,5.6,5.6,-,-,-,BYE,-,-,2.9,10.8,10.5,14,8,23.8,10.2,81.2
49,Brian Thomas Jr.,WR,JAC,13,9,8.9,7.5,10.6,12,23,6.1,BYE,8.5,-,-,-,4.8,11.7,17.1,3.8,7.9,10.1,130.9
50,Tre Tucker,WR,LV,16,13.4,4.9,40.9,4.2,11.1,12,8.3,BYE,6.8,5.5,14.7,5.8,5,4.4,0,9.4,9.9,9.8,156.3
51,Jalen McMillan,WR,TB,3,-,-,-,-,-,-,-,-,BYE,-,-,-,-,-,5.8,3.6,18.4,9.3,27.8
51,Theo Wease Jr.,WR,MIA,2,-,-,-,-,-,-,-,-,-,-,-,BYE,-,-,-,5.2,13.3,9.3,18.5
53,Kayshon Boutte,WR,NE,13,16.3,8.6,4.8,2.8,7.3,26.3,13.5,16.5,0,-,-,3.5,13.5,BYE,4,2.6,-,9.2,119.7
54,Rashid Shaheed,WR,SEA,17,9.3,15.2,8.2,9.2,21.4,6.8,8,14.5,11.8,3.3,4.9,0.5,2.6,16.7,12.1,9.1,1.8,9.1,155.4
54,Travis Hunter,WR,JAC,7,9.3,5.2,3.1,7.2,9.4,5.5,24.1,BYE,-,-,-,-,-,-,-,-,-,9.1,63.8
56,Ricky Pearsall,WR,SF,10,14.8,9.2,19.7,8.6,-,-,-,-,0,-,1,2.8,3.4,BYE,15.6,-,13.5,8.9,88.6
57,Marquise Brown,WR,KC,15,19.9,8,8.2,12.8,8.8,20.5,9.4,0,9.3,BYE,8,2,10,4.5,-,5.2,1.7,8.6,128.3
57,Luther Burden III,WR,CHI,14,0.7,1.5,19.8,1.6,BYE,9.1,3.1,0.9,-,8.1,5.7,9.1,7.6,11,14.4,-,27.8,8.6,120.4
59,Josh Downs,WR,IND,15,3.2,11.1,5.4,6.4,11.4,16.2,-,12.9,15.7,1.3,BYE,3,6.4,6.3,10.3,11.8,5.4,8.5,126.8
60,Tory Horton,WR,SEA,8,0,11.2,18.2,2,12.9,0,0,BYE,20.8,-,-,-,-,-,-,-,-,8.1,65.1
60,Jayden Reed,WR,GB,6,13.5,0,-,-,BYE,-,-,-,-,-,-,-,-,9.3,10.5,7.1,8.1,8.1,48.5
62,Xavier Worthy,WR,KC,14,0,-,-,17.1,11.1,10.6,7.8,10.3,6,BYE,5.5,9.9,11.4,8.5,5.5,6.1,0.1,7.9,109.9
63,Keon Coleman,WR,BUF,12,25.2,5.6,5,7.5,10.3,4.1,BYE,6,3.7,13.6,-,-,8.9,3.6,0,-,-,7.8,93.5
64,Mack Hollins,WR,NE,15,1.3,7.8,6.7,7.4,0,4.8,7.3,15.9,2.9,16.6,10.4,5,5.3,BYE,8.1,13.9,-,7.6,113.4
65,Chimere Dike,WR,TEN,16,0.9,2.8,3.5,-0.4,3.7,2.8,16.9,16.4,7.5,BYE,3.4,21.4,-0.1,13.4,5,13,10.2,7.5,120.4
65,Jayden Higgins,WR,HOU,16,5.2,3.8,1.5,9.4,7.2,BYE,0,13.4,1.4,15.2,9.5,13.8,11.5,6.4,1.4,2.7,16.8,7.5,119.2
65,Cooper Kupp,WR,SEA,15,3.5,16,5.1,6.6,11.9,12,3.2,BYE,-,9.4,5.3,4.4,5.4,11.5,9.6,6.9,1.6,7.5,112.4
68,Jalen Coker,WR,CAR,10,-,-,-,-,-,-,0,6.6,1.9,5.1,11.2,6.2,17.4,BYE,14,7.7,3.6,7.4,73.7
69,Jerry Jeudy,WR,CLE,16,11.6,9.1,2.7,7.8,3.5,9.3,3.7,0,BYE,19.8,5.1,2.9,5.6,16.6,4.2,4.2,10.4,7.3,116.5
69,Ryan Flournoy,WR,DAL,14,-,0,4.1,4.6,18.4,6.3,0,1.7,9.2,BYE,7.2,0,6.4,26.5,8,9.8,-,7.3,102.2
71,Elic Ayomanor,WR,TEN,15,3.3,15.6,13.8,6.4,3.8,5.7,4.9,9.2,7.6,BYE,3.1,-,1.5,8.4,2.7,8.8,13.7,7.2,108.5
72,Darius Slayton,WR,NYG,13,0,8.1,7,7.4,4.1,-,-,4.6,11.2,12.9,-,3.3,14.1,BYE,9.3,1.8,5.6,6.9,89.4
73,Calvin Ridley,WR,TEN,7,6.7,8.7,3.7,5,18.1,2.8,-,-,-,BYE,2.3,-,-,-,-,-,-,6.8,47.3
74,Malik Washington,WR,MIA,16,4.9,9.5,6.2,4.1,4,6.3,8,13.6,7.1,9.3,7.2,BYE,7,4,2,10.2,1.5,6.6,104.9
