#,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,AVG,TTL
32,Tyrone Tracy Jr.,RB,NYG,13,5.5,9.1,5.6,-,-,0.6,10.6,7.3,6.7,8.1,17.9,16,4.3,BYE,24.7,9.8,9.7,126.2
37,Rhamondre Stevenson,RB,NE,12,4.7,21.2,4.6,5.1,14.7,1.8,16.8,5.9,-,-,-,2,11,BYE,10.7,17.8,9.7,116.3
38,Kimani Vidal,RB,LAC,12,-,-,-,0,2.9,22.8,7.5,19.7,3,17.8,3.2,BYE,20.7,11.4,5.8,1.1,9.7,115.9
43,Aaron Jones Sr.,RB,MIN,11,15.7,2.3,-,-,-,BYE,-,5,11.8,15.9,11.1,8.7,4.5,7.6,9.5,11.3,9.4,103.4
44,Tyjae Spears,RB,TEN,11,-,-,-,-,1.4,9,7,17.2,9.2,BYE,8.4,6.5,8.4,6.7,5.6,21.5,9.2,100.9
45,Alvin Kamara,RB,NO,11,13.7,16,6.6,11.2,9.5,12.6,5.9,6.5,0.7,14.5,BYE,3.5,-,-,-,-,9.2,100.7
35,Chuba Hubbard,RB,CAR,13,17.9,18.7,9.6,9.9,-,-,7.5,9.4,1.7,2.5,3.8,8.3,20.4,BYE,4.8,4.4,9.1,118.9
28,Kareem Hunt,RB,KC,15,4.6,4.4,11.4,5.7,18.7,4.4,1.8,17.2,12.5,BYE,13.2,20,9,9,3,0.2,9,135.1
29,Rachaad White,RB,TB,15,2.6,14.6,2.4,8.6,23.1,17.6,8.4,8.1,BYE,10.4,8.2,5.2,5.9,6.5,3.6,8,8.9,133.2
30,Kyle Monangai,RB,CHI,15,2.1,4.6,3,1.8,BYE,5.4,17.4,2.4,22.8,8.8,10.7,10.8,19,8.7,3.3,12.3,8.9,133.1
75,James Conner,RB,ARI,4,14.4,12.2,6.7,-,-,-,-,BYE,-,0,-,-,-,-,-,-,8.3,33.3
33,Jordan Mason,RB,MIN,15,8.5,5.8,23.6,10.2,12.6,BYE,11.7,1.6,4.7,4.1,10.5,4.2,5.8,11.2,2.9,2.1,8,119.5
36,Tyler Allgeier,RB,ATL,15,2.4,15,1.4,11.1,BYE,10.8,1.6,9.4,0.6,17.7,9.6,5.9,13.5,8.7,1.8,8.3,7.9,117.8
49,Michael Carter,RB,ARI,11,-,-,-,0.1,18.3,8.4,5.6,BYE,-,0.4,7.8,8.8,11.4,5.1,13.4,6.5,7.8,85.8
41,Jacory Croskey-Merritt,RB,WAS,15,14.2,1.7,10.1,7.7,27,5.8,4.2,2.5,5.1,3,4.3,BYE,2,3.2,15.6,8.5,7.7,114.9
46,Bam Knight,RB,ARI,12,-,0,-,0,9.4,12.4,9.4,BYE,6.7,4.3,14.5,13.2,16.8,6.4,-0.2,-,7.7,92.9
42,Blake Corum,RB,LAR,15,2.6,10.4,5.3,3.6,1.3,2.3,5.3,BYE,5.8,5.6,1.5,2.4,14.1,26.1,13.1,13.1,7.5,112.5
72,Trey Benson,RB,ARI,5,8.5,8.4,8.1,10.4,-,-,-,BYE,-,-,0,-,-,-,-,-,7.1,35.4
51,Isiah Pacheco,RB,KC,12,4.8,3.9,5.8,12.8,8.6,6.1,12.4,5.8,-,BYE,-,-,5.3,3,2.1,13.5,7,84.1
61,Devin Neal,RB,NO,9,0.9,-,-,-,-,-,0.1,4.1,2.2,6.1,BYE,11.1,9.9,15.4,10.2,-,6.7,60
81,Miles Sanders,RB,DAL,4,4,9.9,8.3,4.5,-,-,-,-,-,BYE,-,-,-,-,-,-,6.7,26.7
59,Justice Hill,RB,BAL,10,-0.1,5.5,7.5,28.7,2.2,9.4,BYE,0.2,3.5,8.3,-,0,-,-,-,-,6.5,65.2
54,Chris Rodriguez Jr.,RB,WAS,12,-,-,3.9,5.9,0.7,0,7.2,0.2,12.5,7.6,9.5,BYE,10.1,5.2,-,13.9,6.4,76.7
48,Nick Chubb,RB,HOU,14,6,15.2,7,8.2,12.1,BYE,2.1,8.9,3.4,6.2,1.7,2.5,9.4,0.3,-,5.2,6.3,88.2
47,Sean Tucker,RB,TB,15,0.2,0,0,0,2.9,8.5,1.6,10.2,BYE,6.1,34,5.6,0,8.9,6.7,6.3,6.1,91
55,Dylan Sampson,RB,CLE,13,17.3,10.9,0.2,-0.2,1.2,4.4,2.7,7.9,BYE,0.9,1.9,16.2,2.3,9.8,-,-,5.8,75.5
50,Emanuel Wilson,RB,GB,15,0.4,0,2.5,11.1,BYE,1.7,2.5,11.7,2.7,1.4,13.9,26.5,1.4,1,0.3,8.2,5.7,85.3
53,Bhayshul Tuten,RB,JAC,14,1.1,15.4,8.1,3.2,2.1,4.8,2.2,BYE,9.6,2,13.4,1.7,8.9,-1.5,9.3,-,5.7,80.3
52,Devin Singletary,RB,NYG,15,0.9,1,1.1,2.8,3.4,1,0.2,3.8,7.1,10.3,17.7,4.7,19.2,BYE,2.4,5.6,5.4,81.2
56,Ty Johnson,RB,BUF,15,2.4,0.6,3.1,0,1,2.6,BYE,0.6,10,4.6,15,8.2,5.5,5.9,5.8,7.6,4.9,72.9
102,Brittain Brown,RB,CHI,2,-,-,-,-,BYE,-,-,-,9.7,-,-,-,-,-,0,-,4.9,9.7
74,Kendre Miller,RB,NO,7,2.4,2,5.6,12.5,5.9,4.2,0.7,-,-,-,BYE,-,-,-,-,-,4.8,33.3
60,Samaje Perine,RB,CIN,13,2.6,0,0.1,0.4,4.9,5.2,3.1,17,0.5,BYE,-,-,5.4,4.8,5.3,12.1,4.7,61.4
90,Jaret Patterson,RB,LAC,4,-,-,-,-,-,-,-,3,4.4,0.1,-,BYE,11.4,-,-,-,4.7,18.9
