#,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,AVG,TTL
34,Shedeur Sanders,QB,CLE,6,-,-,-,-,-,-,-,-,BYE,-,2.5,11.3,10.6,34.5,6.5,13.2,13.1,78.4
35,Geno Smith,QB,LV,14,18.5,6.2,26.1,12.8,7.9,9.7,2.8,BYE,27.3,5.4,13.9,14.2,13,9,-,15,13,181.8
36,Philip Rivers,QB,IND,2,-,-,-,-,-,-,-,-,-,-,BYE,-,-,-,7.8,18.1,12.9,25.9
37,Tua Tagovailoa,QB,MIA,14,7.3,19.6,13.8,15.7,22.7,9.6,1.6,24.2,9.5,12.8,6.8,BYE,5.7,9.1,17.2,-,12.6,175.7
38,Mac Jones,QB,SF,11,-,21.8,14.3,-,22.2,13.2,6.2,19,15.8,24.1,-0.3,-,0.2,BYE,-,-0.3,12.4,136
39,Spencer Rattler,QB,NO,9,11.5,21.7,12.7,13.9,15.1,11.1,13.5,3.6,-,-,BYE,-,-,-,0,-,11.5,103.1
40,Jake Browning,QB,CIN,5,-,20.7,7.9,5.4,22.1,-,-,-,-,BYE,-,0.6,-,-,-,-,11.3,56.7
41,Cam Ward,QB,TEN,15,2.5,9.8,13,5.5,9,7.9,11.2,13.8,6.4,BYE,13.1,23.9,6.3,12.1,15,18,11.2,167.4
41,Kirk Cousins,QB,ATL,8,-,-,1.2,-,BYE,-,-,7.1,-,-,2.1,15.5,13.4,4.5,26.9,18.6,11.2,89.2
43,Marcus Mariota,QB,WAS,12,0,-,20.3,17.2,-,-,4.9,13.3,0,18.7,16.4,BYE,24.3,-1.1,14.7,3.7,11,132.5
44,Tyrod Taylor,QB,NYJ,6,-,8.3,17.7,-,-,-,4.1,-,BYE,-,-,13.8,21.3,-0.8,-,-,10.7,64.5
45,Russell Wilson,QB,NYG,6,11.1,31.3,7.1,0.3,-,0,-,-,-,3,-,-,-,BYE,-,-,8.8,52.8
46,Dillon Gabriel,QB,CLE,10,-,4.8,-,0,16.1,8.8,5.8,13.5,BYE,20.1,2.9,-,0,-,-,0,7.2,72.1
47,Brady Cook,QB,NYJ,3,-,-,-,-,-,-,-,-,BYE,-,-,-,-,4.5,11.9,4.7,7.1,21.2
48,Malik Willis,QB,GB,3,-,-,-,-,BYE,-,-,-,-,-,5.8,0.6,-,-,-,13.2,6.6,19.7
49,Tyler Huntley,QB,BAL,4,-,-,-,-,-,6.6,BYE,16.7,-,-,-,-,-,-,-0.3,2.8,6.5,25.9
50,Quinn Ewers,QB,MIA,2,-,-,-,-,-,-,2.1,-,-,-,-,BYE,-,-,-,8.9,5.5,11
